id,player_api_id,player_name,player_fifa_api_id,birthday,height,weight,id:1,player_fifa_api_id:1,player_api_id:1,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
3264,39599,Federico Marchetti,139668,1983-02-07 00:00:00,187.96,183,452,51868,3264,2010-08-30 00:00:00,62,73,right,,_0,49,64,65,54,58,58,46,44,27,64,69,54,66,58,62,63,74,58,61,59,52,30,74,66,41,30,34,36,13,7,7,9,13
3264,39599,Federico Marchetti,139668,1983-02-07 00:00:00,187.96,183,453,51868,3264,2010-02-22 00:00:00,62,73,right,,_0,49,64,65,54,58,58,46,44,27,64,69,54,66,58,62,63,74,58,61,59,52,63,64,66,62,30,34,36,11,20,27,20,20
3264,39599,Federico Marchetti,139668,1983-02-07 00:00:00,187.96,183,454,51868,3264,2009-08-30 00:00:00,62,73,right,,_0,49,64,65,54,58,58,46,44,27,64,69,54,66,58,62,63,74,58,61,59,52,63,64,66,62,30,34,36,11,20,27,20,20
3264,39599,Federico Marchetti,139668,1983-02-07 00:00:00,187.96,183,455,51868,3264,2008-08-30 00:00:00,61,73,right,,_0,49,64,61,54,58,54,46,44,27,61,69,54,66,58,62,63,74,58,61,59,52,63,64,66,62,30,34,36,11,20,27,20,20
3264,39599,Federico Marchetti,139668,1983-02-07 00:00:00,187.96,183,456,51868,3264,2007-02-22 00:00:00,61,73,right,,_0,49,64,61,54,58,54,46,44,27,61,69,54,66,58,62,63,74,58,61,59,52,63,64,66,62,30,34,36,11,20,27,20,20
2790,29318,Dragan Paljic,182740,1983-04-08 00:00:00,175.26,159,5122,110809,2790,2010-08-30 00:00:00,67,77,left,None,7,72,37,51,64,43,64,67,56,62,65,69,72,65,64,67,46,61,56,67,42,74,68,56,60,54,70,73,69,8,14,8,13,12
2790,29318,Dragan Paljic,182740,1983-04-08 00:00:00,175.26,159,5123,110809,2790,2009-08-30 00:00:00,73,77,left,None,7,78,37,58,75,43,66,67,56,73,67,72,74,65,73,67,46,61,76,72,42,74,70,62,60,68,79,78,69,8,21,73,21,21
2790,29318,Dragan Paljic,182740,1983-04-08 00:00:00,175.26,159,5124,110809,2790,2008-08-30 00:00:00,71,76,left,None,7,71,36,54,68,43,65,67,55,72,68,71,71,65,74,67,45,61,76,72,41,63,59,61,60,50,78,77,69,8,21,72,21,21
2790,29318,Dragan Paljic,182740,1983-04-08 00:00:00,175.26,159,5125,110809,2790,2007-08-30 00:00:00,72,76,left,None,7,69,37,55,68,43,53,67,56,71,67,72,68,65,69,67,46,61,75,73,42,64,60,62,60,51,77,77,69,8,21,71,21,21
2790,29318,Dragan Paljic,182740,1983-04-08 00:00:00,175.26,159,5126,110809,2790,2007-02-22 00:00:00,68,73,left,None,7,60,40,58,65,43,56,67,54,71,67,70,71,65,66,67,49,61,69,71,45,67,60,62,60,54,69,68,69,8,8,71,7,12
